Name,City,State
DECATUR HIGH SCHOOL,DECATUR,ARKANSAS
DERMOTT HIGH SCHOOL,DERMOTT,ARKANSAS
DES ARC HIGH SCHOOL,DES ARC,ARKANSAS
DIERKS HIGH SCHOOL,DIERKS,ARKANSAS
DOLLARWAY HIGH SCHOOL,PINE BLUFF,ARKANSAS
DOVER HIGH SCHOOL,DOVER,ARKANSAS
DREW CENTRAL HIGH SCHOOL,MONTICELLO,ARKANSAS
EARLE HIGH SCHOOL,EARLE,ARKANSAS
BIGELOW HIGH SCHOOL,BIGELOW,ARKANSAS
EL DORADO HIGH SCHOOL,EL DORADO,ARKANSAS
ELKINS HIGH SCHOOL,ELKINS,ARKANSAS
ENGLAND HIGH SCHOOL,ENGLAND,ARKANSAS
EUREKA SPRINGS HIGH SCHOOL,EUREKA SPRINGS,ARKANSAS
CAMDEN FAIRVIEW HIGH SCHOOL,CAMDEN,ARKANSAS
FAYETTEVILLE HIGH SCHOOL EAST,FAYETTEVILLE,ARKANSAS
AGEE LIERLY LIFE PREPARATION SERVICES SCHOOL,FAYETTEVILLE,ARKANSAS
FLIPPIN HIGH SCHOOL,FLIPPIN,ARKANSAS
FORDYCE HIGH SCHOOL,FORDYCE,ARKANSAS
FOREMAN HIGH SCHOOL,FOREMAN,ARKANSAS
FORREST CITY HIGH SCHOOL,FORREST CITY,ARKANSAS
BELLE POINT ALTERNATIVE CENTER,FORT SMITH,ARKANSAS
FOUKE HIGH SCHOOL,FOUKE,ARKANSAS
FOUNTAIN LAKE CHARTER HIGH SCHOOL,HOT SPRINGS,ARKANSAS
GENTRY HIGH SCHOOL CONVERSION CHARTER,GENTRY,ARKANSAS
GLEN ROSE HIGH SCHOOL,MALVERN,ARKANSAS
CENTERPOINT HIGH SCHOOL,AMITY,ARKANSAS
GRAVETTE HIGH SCHOOL,GRAVETTE,ARKANSAS
GREEN FOREST HIGH SCHOOL,GREEN FOREST,ARKANSAS
GREENLAND HIGH SCHOOL,GREENLAND,ARKANSAS
GURDON HIGH SCHOOL,GURDON,ARKANSAS
GUY-PERKINS HIGH SCHOOL,GUY,ARKANSAS
HACKETT HIGH SCHOOL,HACKETT,ARKANSAS
HARTFORD HIGH SCHOOL,HARTFORD,ARKANSAS
HAMPTON HIGH SCHOOL,HAMPTON,ARKANSAS
HARMONY GROVE HIGH SCHOOL,CAMDEN,ARKANSAS
SPARKMAN HIGH SCHOOL,SPARKMAN,ARKANSAS
HARRISBURG COLLEGE & CAREER PREPARATORY SCHOOL,HARRISBURG,ARKANSAS
HARRISON HIGH SCHOOL,HARRISON,ARKANSAS
HAZEN HIGH SCHOOL,HAZEN,ARKANSAS
HEBER SPRINGS HIGH SCHOOL,HEBER SPRINGS,ARKANSAS
HECTOR HIGH SCHOOL,HECTOR,ARKANSAS
CENTRAL HIGH SCHOOL,WEST HELENA,ARKANSAS
HERMITAGE HIGH SCHOOL,HERMITAGE,ARKANSAS
CROSS CNTY HIGH A NEW TECH SCH,CHERRY VALLEY,ARKANSAS
HIGHLAND HIGH SCHOOL,HARDY,ARKANSAS
HOPE HIGH SCHOOL,HOPE,ARKANSAS
HORATIO HIGH SCHOOL,HORATIO,ARKANSAS
HOT SPRINGS WORLD CLASS HIGH SCHOOL,HOT SPRINGS,ARKANSAS
JESSIEVILLE HIGH SCHOOL,JESSIEVILLE,ARKANSAS
HOXIE HIGH SCHOOL,HOXIE,ARKANSAS
HUNTSVILLE HIGH SCHOOL,HUNTSVILLE,ARKANSAS
ST. PAUL HIGH SCHOOL,ST PAUL,ARKANSAS
JASPER HIGH SCHOOL,JASPER,ARKANSAS
KINGSTON HIGH SCHOOL,KINGSTON,ARKANSAS
OARK HIGH SCHOOL,OARK,ARKANSAS
JONESBORO VOCATIONAL CENTER,JONESBORO,ARKANSAS
JUNCTION CITY HIGH SCHOOL,JUNCTION CITY,ARKANSAS
RIVERVIEW HIGH SCHOOL,SEARCY,ARKANSAS
KIRBY HIGH SCHOOL,KIRBY,ARKANSAS
LAKESIDE HIGH SCHOOL,LAKE VILLAGE,ARKANSAS
LAKESIDE HIGH SCHOOL,HOT SPRINGS,ARKANSAS
LAMAR HIGH SCHOOL,LAMAR,ARKANSAS
LAVACA HIGH SCHOOL,LAVACA,ARKANSAS
LINCOLN NEW TECH HIGH SCHOOL,LINCOLN,ARKANSAS
METROPOLITAN VO-TECH SCHOOL,LITTLE ROCK,ARKANSAS
CENTRAL HIGH SCHOOL,LITTLE ROCK,ARKANSAS
HALL HIGH SCHOOL,LITTLE ROCK,ARKANSAS
PARKVIEW MAGNET HIGH SCHOOL,LITTLE ROCK,ARKANSAS
J.A. FAIR HIGH SCHOOL,LITTLE ROCK,ARKANSAS
MCCLELLAN MAGNET HIGH SCHOOL,LITTLE ROCK,ARKANSAS
LONOKE HIGH SCHOOL,LONOKE,ARKANSAS
J.D. LEFTWICH HIGH SCHOOL,MAGAZINE,ARKANSAS
MAGNET COVE HIGH SCHOOL,MALVERN,ARKANSAS
MALVERN HIGH SCHOOL,MALVERN,ARKANSAS
MAMMOTH SPRING HIGH SCHOOL,MAMMOTH SPRING,ARKANSAS
MANSFIELD HIGH SCHOOL,MANSFIELD,ARKANSAS
LEE HIGH SCHOOL,MARIANNA,ARKANSAS
MARKED TREE HIGH SCHOOL,MARKED TREE,ARKANSAS
NORTH CENTRAL VOCATIONAL CENTER,LESLIE,ARKANSAS
MARSHALL HIGH SCHOOL,MARSHALL,ARKANSAS
MARVELL HIGH SCHOOL,MARVELL,ARKANSAS
MAYFLOWER HIGH SCHOOL,MAYFLOWER,ARKANSAS
MAYNARD HIGH SCHOOL,MAYNARD,ARKANSAS
MCCRORY HIGH SCHOOL,MCCRORY,ARKANSAS
MCGEHEE HIGH SCHOOL,MCGEHEE,ARKANSAS
MELBOURNE HIGH SCHOOL,MELBOURNE,ARKANSAS
MENA HIGH SCHOOL,MENA,ARKANSAS
MINERAL SPRINGS HIGH SCHOOL,MINERAL SPRINGS,ARKANSAS
MONTICELLO VOCATIONAL CENTER,MONTICELLO,ARKANSAS
MONTICELLO HIGH SCHOOL,MONTICELLO,ARKANSAS
MOUNT IDA HIGH SCHOOL,MOUNT IDA,ARKANSAS
MT. VERNON/ENOLA HIGH SCHOOL,MT VERNON,ARKANSAS
MOUNTAIN PINE HIGH SCHOOL,MOUNTAIN PINE,ARKANSAS
MOUNTAIN VIEW HIGH SCHOOL,MOUNTAIN VIEW,ARKANSAS
RURAL SPECIAL HIGH SCHOOL,FOX,ARKANSAS
TIMBO HIGH SCHOOL,TIMBO,ARKANSAS
MOUNTAINBURG HIGH SCHOOL,MOUNTAINBURG,ARKANSAS
MULBERRY HIGH SCHOOL,MULBERRY,ARKANSAS
MURFREESBORO HIGH SCHOOL,MURFREESBORO,ARKANSAS
NEMO VISTA HIGH SCHOOL,CENTER RIDGE,ARKANSAS
NETTLETON HIGH SCHOOL,JONESBORO,ARKANSAS
NORFORK HIGH SCHOOL,NORFORK,ARKANSAS
NORTH LITTLE ROCK HIGH SCHOOL,NORTH LITTLE ROCK,ARKANSAS
NORTH LITTLE ROCK CENTER OF EXCELLENCE,NORTH LITTLE ROCK,ARKANSAS
OMAHA HIGH SCHOOL,OMAHA,ARKANSAS
OSCEOLA HIGH SCHOOL,OSCEOLA,ARKANSAS
OUACHITA HIGH SCHOOL,DONALDSON,ARKANSAS
PANGBURN HIGH SCHOOL,PANGBURN,ARKANSAS
PARIS HIGH SCHOOL,PARIS,ARKANSAS
PARKERS CHAPEL HIGH SCHOOL,EL DORADO,ARKANSAS
PERRYVILLE HIGH SCHOOL,PERRYVILLE,ARKANSAS
PIGGOTT HIGH SCHOOL,PIGGOTT,ARKANSAS
POYEN HIGH SCHOOL,POYEN,ARKANSAS
PRAIRIE GROVE HIGH SCHOOL,PRAIRIE GROVE,ARKANSAS
PRESCOTT HIGH SCHOOL,PRESCOTT,ARKANSAS
JOE T. ROBINSON HIGH SCHOOL,LITTLE ROCK,ARKANSAS
SYLVAN HILLS HIGH SCHOOL,SHERWOOD,ARKANSAS
WILBUR D. MILLS HIGH SCHOOL,LITTLE ROCK,ARKANSAS
MAUMELLE HIGH SCHOOL,MAUMELLE,ARKANSAS
QUITMAN HIGH SCHOOL,QUITMAN,ARKANSAS
ROGERS HIGH SCHOOL,ROGERS,ARKANSAS
ROGERS HERITAGE HIGH SCHOOL,ROGERS,ARKANSAS
ROGERS NEW TECHNOLOGY HIGH SCHOOL,ROGERS,ARKANSAS
ROSE BUD HIGH SCHOOL,ROSE BUD,ARKANSAS
SALEM HIGH SCHOOL,SALEM,ARKANSAS
SCRANTON HIGH SCHOOL,SCRANTON,ARKANSAS
SEARCY HIGH SCHOOL,SEARCY,ARKANSAS
SHIRLEY HIGH SCHOOL,SHIRLEY,ARKANSAS
SILOAM SPRINGS HIGH SCHOOL CONVERSION CHARTER,SILOAM SPRINGS,ARKANSAS
SLOAN-HENDRIX HIGH SCHOOL,IMBODEN,ARKANSAS
SMACKOVER HIGH SCHOOL,SMACKOVER,ARKANSAS
RIVER VALLEY VOCATIONAL CENTER,MORRILTON,ARKANSAS
MORRILTON SR. HIGH SCHOOL,MORRILTON,ARKANSAS
SOUTH SIDE HIGH SCHOOL,BEE BRANCH,ARKANSAS
SPRING HILL HIGH SCHOOL,HOPE,ARKANSAS
SPRINGDALE SCHOOL OF INNOVATIONS,SPRINGDALE,ARKANSAS
STRONG HIGH SCHOOL,STRONG,ARKANSAS
STUTTGART HIGH SCHOOL,STUTTGART,ARKANSAS
TEXARKANA AREA VOCATIONAL CENTER,TEXARKANA,ARKANSAS
ARKANSAS HIGH SCHOOL,TEXARKANA,ARKANSAS
WASHINGTON ACADEMY CHARTER SCHOOL,TEXARKANA,ARKANSAS
TUCKERMAN HIGH SCHOOL,TUCKERMAN,ARKANSAS
VALLEY SPRINGS HIGH SCHOOL,VALLEY SPRINGS,ARKANSAS
VIOLA HIGH SCHOOL,VIOLA,ARKANSAS
WALDRON HIGH SCHOOL,WALDRON,ARKANSAS
WEST FORK HIGH SCHOOL,WEST FORK,ARKANSAS
WESTSIDE HIGH SCHOOL,COAL HILL,ARKANSAS
WEST SIDE HIGH SCHOOL,GREERS FERRY,ARKANSAS
WHITE HALL HIGH SCHOOL,WHITE HALL,ARKANSAS
WONDERVIEW HIGH SCHOOL,HATTIEVILLE,ARKANSAS
WOODLAWN HIGH SCHOOL,RISON,ARKANSAS
WYNNE HIGH SCHOOL,WYNNE,ARKANSAS
YELLVILLE-SUMMIT HIGH SCHOOL,YELLVILLE,ARKANSAS
Vasquez High,Acton,CALIFORNIA
Method Schools High,Arcadia,CALIFORNIA
Empower Generations,Acton,CALIFORNIA
Pathways Academy Charter Adult Education,San Marcos,CALIFORNIA
Options for Youth-Acton,Pasadena,CALIFORNIA
Sierra Madre High (Continuation),New Cuyama,CALIFORNIA
Cuyama Valley High,New Cuyama,CALIFORNIA
Herlong High,Herlong,CALIFORNIA
Rocklin High,Rocklin,CALIFORNIA
Victory High,Rocklin,CALIFORNIA
Whitney High,Rocklin,CALIFORNIA
Western Sierra Collegiate Academy,Rocklin,CALIFORNIA
Sultana High,Hesperia,CALIFORNIA
Hesperia Community Day,Hesperia,CALIFORNIA
Hesperia High,Hesperia,CALIFORNIA
Mojave High,Hesperia,CALIFORNIA
Summit Leadership Academy-High Desert,Hesperia,CALIFORNIA
Mirus Secondary,San Diego,CALIFORNIA
Canyon Ridge High,Hesperia,CALIFORNIA
Encore Jr./Sr. High Sch for the Perf and Visual Arts,Hesperia,CALIFORNIA
Oak Hills High,Oak Hills,CALIFORNIA
Mountain View High,Lucerne Valley,CALIFORNIA
Lucerne Valley Community Day,Lucerne Valley,CALIFORNIA
Lucerne Valley High,Lucerne Valley,CALIFORNIA
Alta Vista Innovation High,Hesperia,CALIFORNIA
Upland High,Upland,CALIFORNIA
Granite Hills High,Apple Valley,CALIFORNIA
Apple Valley High,Apple Valley,CALIFORNIA
Valley High,Hayfork,CALIFORNIA
Hayfork High,Hayfork,CALIFORNIA
Dublin High,Dublin,CALIFORNIA
Valley High (Continuation),Dublin,CALIFORNIA
Foothill High,Pleasanton,CALIFORNIA
Village High,Pleasanton,CALIFORNIA
Amador Valley High,Pleasanton,CALIFORNIA
Mendota Continuation High,Mendota,CALIFORNIA
Mendota High,Mendota,CALIFORNIA
Mendota Community Day,Mendota,CALIFORNIA
Mira Costa High,Manhattan Beach,CALIFORNIA
Frazier Mountain High,Lebec,CALIFORNIA
Ortega High,Lake Elsinore,CALIFORNIA
Elsinore High,Wildomar,CALIFORNIA
Temescal Canyon High,Lake Elsinore,CALIFORNIA
Lakeside High,Lake Elsinore,CALIFORNIA
Chaparral High,Temecula,CALIFORNIA
Temecula Valley High,Temecula,CALIFORNIA
Rancho Vista High,Temecula,CALIFORNIA
Susan H. Nelson,Temecula,CALIFORNIA
Great Oak High,Temecula,CALIFORNIA
Murrieta Valley High,Murrieta,CALIFORNIA
Vista Murrieta High,Murrieta,CALIFORNIA
Murrieta Mesa High,Murrieta,CALIFORNIA
Redondo Shores High (Continuation),Redondo Beach,CALIFORNIA
Redondo Union High,Redondo Beach,CALIFORNIA
Redondo Beach Learning Academy,Redondo Beach,CALIFORNIA
Dos Palos High,Dos Palos,CALIFORNIA
Westside High,Dos Palos,CALIFORNIA
Westside Community Day Middle High,Dos Palos,CALIFORNIA
Windsor High,Windsor,CALIFORNIA
Windsor Oaks Academy,Windsor,CALIFORNIA
Farmersville High,Farmersville,CALIFORNIA
Deep Creek Academy,Farmersville,CALIFORNIA
Natomas High,Sacramento,CALIFORNIA
Discovery High,Sacramento,CALIFORNIA
Inderkum High,Sacramento,CALIFORNIA
Natomas Pacific Pathways Prep,Sacramento,CALIFORNIA
Leroy Greene Academy,Sacramento,CALIFORNIA
Ferndale High,Ferndale,CALIFORNIA
Mattole Triple Junction High,Petrolia,CALIFORNIA
Delhi High,Delhi,CALIFORNIA
Riverdale High,Riverdale,CALIFORNIA
Horizon High,Riverdale,CALIFORNIA
Warner Junior/Senior High,Warner Springs,CALIFORNIA
San Jose Valley Continuation High,Warner Springs,CALIFORNIA
All Tribes Charter,Valley Center,CALIFORNIA
Scotts Valley High,Scotts Valley,CALIFORNIA
Healdsburg High,Healdsburg,CALIFORNIA
Marce Becerra Academy,Healdsburg,CALIFORNIA
North Valley High (Continuation),Orland,CALIFORNIA
Orland High,Orland,CALIFORNIA
Orland Community Day,Orland,CALIFORNIA
Gonzales High,Gonzales,CALIFORNIA
Somavia High,Gonzales,CALIFORNIA
Merrill F. West High,Tracy,CALIFORNIA
Tracy High,Tracy,CALIFORNIA
Willow Community Day,Tracy,CALIFORNIA
Millennium Charter,Tracy,CALIFORNIA
George and Evelyn Stein Continuation,Tracy,CALIFORNIA
John C. Kimball High,Tracy,CALIFORNIA
Paso Robles High,Paso Robles,CALIFORNIA
Independence High,Paso Robles,CALIFORNIA
Leffingwell High (Continuation),Cambria,CALIFORNIA
Coast Union High,Cambria,CALIFORNIA
Esperanza High (Continuation),Gridley,CALIFORNIA
Gridley High,Gridley,CALIFORNIA
Eureka Senior High,Eureka,CALIFORNIA
Hughson High,Hughson,CALIFORNIA
Dickens (Billy Joe) High (Continuation),Hughson,CALIFORNIA
Valley Community Day,Hughson,CALIFORNIA
Riverbank High,Riverbank,CALIFORNIA
Oakdale High,Oakdale,CALIFORNIA
Oakdale Charter,Oakdale,CALIFORNIA
Valley Oak Junior and Senior High,Oakdale,CALIFORNIA
East Stanislaus High,Oakdale,CALIFORNIA
Waterford High,Waterford,CALIFORNIA
Sentinel High,Waterford,CALIFORNIA
Citrus High,Porterville,CALIFORNIA
Monache High,Porterville,CALIFORNIA
Porterville High,Porterville,CALIFORNIA
Vine Street Community Day,Porterville,CALIFORNIA
Granite Hills High,Porterville,CALIFORNIA
Strathmore High,Porterville,CALIFORNIA
Butterfield Charter High,Porterville,CALIFORNIA
Harmony Magnet Academy,Porterville,CALIFORNIA
Dinuba High,Dinuba,CALIFORNIA
Sierra Vista High (Continuation),Dinuba,CALIFORNIA
Caruthers High,Caruthers,CALIFORNIA
MARC High,Caruthers,CALIFORNIA
Liberty High,Madera,CALIFORNIA
Lincoln Community Day,Madera,CALIFORNIA
Valley Teen Ranch Community Day,Madera,CALIFORNIA
Valley Center High,Valley Center,CALIFORNIA
Oak Glen High,Valley Center,CALIFORNIA
West Side ROP,Taft,CALIFORNIA
North Kern Vocational Training Center,Wasco,CALIFORNIA
Kern County ROP,Mojave,CALIFORNIA
Kern High ROC,Bakersfield,CALIFORNIA
Lake County ROP,Lakeport,CALIFORNIA
Modoc County ROP,Alturas,CALIFORNIA
Tri-Valley ROP,Livermore,CALIFORNIA
Mission Valley ROCP,Fremont,CALIFORNIA
Butte County ROP,Chico,CALIFORNIA
Contra Costa County ROP,Pleasant Hill,CALIFORNIA
Del Norte County ROP,Crescent City,CALIFORNIA
Riverside County ROP,Riverside,CALIFORNIA
Sacramento County ROP,Sacramento,CALIFORNIA
Valley ROP,Sanger,CALIFORNIA
Fresno ROP,Fresno,CALIFORNIA
Glenn County ROP,Willows,CALIFORNIA
Imperial Valley ROP,El Centro,CALIFORNIA
La Puente Valley ROP,La Puente,CALIFORNIA
Southeast ROP,Norwalk,CALIFORNIA
East San Gabriel Valley ROP,West Covina,CALIFORNIA
Tri-Cities ROP,Whittier,CALIFORNIA
Los Angeles County ROP,Downey,CALIFORNIA
Hart ROP,Santa Clarita,CALIFORNIA
Antelope Valley ROP,Palmdale,CALIFORNIA
Compton Unified ROP,Compton,CALIFORNIA
Manzanita Community Day,North Fork,CALIFORNIA
Mountain Oaks High,North Fork,CALIFORNIA
Minarets High,O'Neals,CALIFORNIA
Minarets Charter High,O'Neals,CALIFORNIA
Marin County ROP,San Rafael,CALIFORNIA
Mendocino County ROP,Ukiah,CALIFORNIA
Mission Trails ROP,Salinas,CALIFORNIA
North Orange County ROP,Anaheim,CALIFORNIA
College and Career Advantage,San Juan Capistrano,CALIFORNIA
Coastline ROP,Costa Mesa,CALIFORNIA
Siskiyou County ROP,Yreka,CALIFORNIA
Colton-Redlands-Yucaipa ROP,Redlands,CALIFORNIA
Baldy View ROP,Ontario,CALIFORNIA
San Bernardino County ROP,San Bernardino,CALIFORNIA
Santa Barbara County ROP-South,Santa Barbara,CALIFORNIA
New West Charter,Los Angeles,CALIFORNIA
School of Arts and Enterprise,Pomona,CALIFORNIA
San Diego County ROP,San Diego,CALIFORNIA
Tri-County ROP,Yuba City,CALIFORNIA
Yolo County ROP,Woodland,CALIFORNIA
Century High,Alhambra,CALIFORNIA
Alhambra High,Alhambra,CALIFORNIA
Mark Keppel High,Alhambra,CALIFORNIA
San Gabriel High,San Gabriel,CALIFORNIA
Independence High (Alternative),Alhambra,CALIFORNIA
Mono County ROP,Bridgeport,CALIFORNIA
John H. Pitman High,Turlock,CALIFORNIA
Roselawn High,Turlock,CALIFORNIA
Turlock High,Turlock,CALIFORNIA
Fusion Charter,Turlock,CALIFORNIA
Etna Union High,Etna,CALIFORNIA
Scott River High,Etna,CALIFORNIA
Yosemite High,Oakhurst,CALIFORNIA
Ahwahnee High,Oakhurst,CALIFORNIA
Raymond Granite High,Oakhurst,CALIFORNIA
Evergreen High,Oakhurst,CALIFORNIA
Glacier High School Charter,Oakhurst,CALIFORNIA
Campbell High Community Day,Oakhurst,CALIFORNIA
High Tech High North County,San Diego,CALIFORNIA
High Tech High Chula Vista,San Diego,CALIFORNIA
Alps View High (Continuation),Weaverville,CALIFORNIA
Trinity High,Weaverville,CALIFORNIA
Foothill High,Sacramento,CALIFORNIA
Grant Union High,Sacramento,CALIFORNIA
Highlands High,North Highlands,CALIFORNIA
Rio Linda High,Rio Linda,CALIFORNIA
Elwood J. Keema High,Sacramento,CALIFORNIA
Pacific Career and Technology High,North Highlands,CALIFORNIA
Miles P. Richmond,North Highlands,CALIFORNIA
Vista Nueva Career and Technology High,Sacramento,CALIFORNIA
Futures High,North Highlands,CALIFORNIA
SAVA: Sacramento Academic and Vocational Academy,Sacramento,CALIFORNIA
Hamilton High,Hamilton City,CALIFORNIA
Hamilton Community Day,Hamilton City,CALIFORNIA
North County Regional Occupational Program,Sunnyvale,CALIFORNIA
Bishop Union High,Bishop,CALIFORNIA
Keith B. Bright High (Juvenile Hall),Bishop,CALIFORNIA
Palisade Glacier High (Continuation),Big Pine,CALIFORNIA
Bishop Independent Study,Big Pine,CALIFORNIA
Community Day School III,Bishop,CALIFORNIA
Mountain House High,Mountain House,CALIFORNIA
Dos Pueblos Senior High,Goleta,CALIFORNIA
La Cuesta Continuation High,Santa Barbara,CALIFORNIA
San Marcos Senior High,Santa Barbara,CALIFORNIA
Santa Barbara Senior High,Santa Barbara,CALIFORNIA
Alta Vista Alternative High,Santa Barbara,CALIFORNIA
Washington High,Fresno,CALIFORNIA
Easton Continuation High,Fresno,CALIFORNIA
Easton Community Day,Fresno,CALIFORNIA
Elm High,Fresno,CALIFORNIA
Woodlake High,Woodlake,CALIFORNIA
Bravo Lake High,Woodlake,CALIFORNIA
Woodlake Community Day,Woodlake,CALIFORNIA
Renaissance High,Santa Paula,CALIFORNIA
Santa Paula High,Santa Paula,CALIFORNIA
Pine Grove Youth Conservation Camp,Pine Grove,CALIFORNIA
Johanna Boss High,Stockton,CALIFORNIA
N.A. Chaderjian High,Stockton,CALIFORNIA
Mary B. Perry High,Camarillo,CALIFORNIA
Exeter Union High,Exeter,CALIFORNIA
Kaweah High,Exeter,CALIFORNIA
Bonsall High,Bonsall,CALIFORNIA
Da Vinci Science,El Segundo,CALIFORNIA
Da Vinci Design,Hawthorne,CALIFORNIA
Da Vinci Communications High,Hawthorne,CALIFORNIA
RISE High,Hawthorne,CALIFORNIA
Paramount Collegiate Academy,Sacramento,CALIFORNIA
Academia Avance Charter,Los Angeles,CALIFORNIA
Prepa Tec Los Angeles High,Bell,CALIFORNIA
California Advancing Pathways for Students in Los Angeles Co,Bellflower,CALIFORNIA
Clover Valley High (Continuation),Upper Lake,CALIFORNIA
Upper Lake High,Upper Lake,CALIFORNIA
Upper Lake Community Day,Upper Lake,CALIFORNIA
Grossmont Secondary,San Diego,CALIFORNIA
Sweetwater Secondary,Chula Vista,CALIFORNIA
Artesia High,Lakewood,CALIFORNIA
Cerritos High,Cerritos,CALIFORNIA
Gahr (Richard) High,Cerritos,CALIFORNIA
Tracy (Wilbur) High (Continuation),Cerritos,CALIFORNIA
Whitney (Gretchen) High,Cerritos,CALIFORNIA
ABC Secondary (Alternative),Cerritos,CALIFORNIA
Acalanes High,Lafayette,CALIFORNIA
Campolindo High,Moraga,CALIFORNIA
Las Lomas High,Walnut Creek,CALIFORNIA
Miramonte High,Orinda,CALIFORNIA
Acalanes Center for Independent Study,Walnut Creek,CALIFORNIA
Alameda High,Alameda,CALIFORNIA
Encinal Junior/Senior High,Alameda,CALIFORNIA
Island High (Continuation),Alameda,CALIFORNIA
Alameda Community Learning Center,Alameda,CALIFORNIA
Alternatives in Action,Oakland,CALIFORNIA
Alameda Science and Technology Institute,Alameda,CALIFORNIA
Albany High,Albany,CALIFORNIA
Alpaugh Junior-Senior High,Alpaugh,CALIFORNIA
Alpine County Secondary Community Day,Markleeville,CALIFORNIA
Alvord Continuation High,Riverside,CALIFORNIA
La Sierra High,Riverside,CALIFORNIA
Norte Vista High,Riverside,CALIFORNIA
Alvord Alternative Continuation High,Riverside,CALIFORNIA
Hillcrest High,Riverside,CALIFORNIA
Summit Secondary,Riverside,CALIFORNIA
Independence High (Continuation),Jackson,CALIFORNIA
Amador High,Sutter Creek,CALIFORNIA
Argonaut High,Jackson,CALIFORNIA
Anaheim High,Anaheim,CALIFORNIA
Cypress High,Cypress,CALIFORNIA
Gilbert High (Continuation),Anaheim,CALIFORNIA
Hope,Buena Park,CALIFORNIA
Katella High,Anaheim,CALIFORNIA
John F. Kennedy High,La Palma,CALIFORNIA
Loara High,Anaheim,CALIFORNIA
Magnolia High,Anaheim,CALIFORNIA
Savanna High,Anaheim,CALIFORNIA
Western High,Anaheim,CALIFORNIA
Oxford Academy,Cypress,CALIFORNIA
Polaris High (Alternative),Anaheim,CALIFORNIA
Analy High,Sebastopol,CALIFORNIA
El Molino High,Forestville,CALIFORNIA
Laguna High,Sebastopol,CALIFORNIA
WSCUHSD Community Day,Sebastopol,CALIFORNIA
Anderson High,Anderson,CALIFORNIA
North Valley High,Anderson,CALIFORNIA
Oakview High (Alternative),Anderson,CALIFORNIA
West Valley High,Cottonwood,CALIFORNIA
Anderson New Technology High,Anderson,CALIFORNIA
Anderson Valley Junior-Senior High,Boonville,CALIFORNIA
Rancheria Continuation,Boonville,CALIFORNIA
Antelope Valley High,Lancaster,CALIFORNIA
Desert Winds Continuation High,Lancaster,CALIFORNIA
Palmdale High,Palmdale,CALIFORNIA
Quartz Hill High,Quartz Hill,CALIFORNIA
Lancaster High,Lancaster,CALIFORNIA
Phoenix High Community Day,Palmdale,CALIFORNIA
Desert Sands Charter,Lancaster,CALIFORNIA
Highland High,Palmdale,CALIFORNIA
Littlerock High,Littlerock,CALIFORNIA
R. Rex Parris High,Palmdale,CALIFORNIA
Eastside High,Lancaster,CALIFORNIA
William J. (Pete) Knight High,Palmdale,CALIFORNIA
SOAR High (Students On Academic Rise),Lancaster,CALIFORNIA
Academies of the Antelope Valley,Quartz Hill,CALIFORNIA
Antioch High,Antioch,CALIFORNIA
Deer Valley High,Antioch,CALIFORNIA
Bridges,Antioch,CALIFORNIA
Dozier-Libbey Medical High,Antioch,CALIFORNIA
Arcadia High,Arcadia,CALIFORNIA
Arcata High,Arcata,CALIFORNIA
McKinleyville High,McKinleyville,CALIFORNIA
Pacific Coast High (Continuation),Arcata,CALIFORNIA
Tsurai High (Continuation),McKinleyville,CALIFORNIA
Six Rivers Charter High,Arcata,CALIFORNIA
Atascadero High,Atascadero,CALIFORNIA
Paloma Creek High,Atascadero,CALIFORNIA
Azusa High,Azusa,CALIFORNIA
Gladstone High,Azusa,CALIFORNIA
Sierra High,Azusa,CALIFORNIA
Baker High,Baker,CALIFORNIA
Baldwin Park High,Baldwin Park,CALIFORNIA
North Park Continuation High,Baldwin Park,CALIFORNIA
Sierra Vista High,Baldwin Park,CALIFORNIA
Opportunities For Learning - Baldwin Park II,Pasadena,CALIFORNIA
Banning High,Banning,CALIFORNIA
New Horizon High,Banning,CALIFORNIA
Barstow High,Barstow,CALIFORNIA
Central High (Continuation),Barstow,CALIFORNIA
BUSD School of Opportunity,Barstow,CALIFORNIA
Bassett Senior High,La Puente,CALIFORNIA
Big Bear High,Big Bear Lake,CALIFORNIA
Chautauqua High (Continuation),Big Bear Lake,CALIFORNIA
Beaumont Senior High,Beaumont,CALIFORNIA
Glen View High,Beaumont,CALIFORNIA
Bellflower High,Bellflower,CALIFORNIA
Mayfair High,Bellflower,CALIFORNIA
Somerset Continuation High,Bellflower,CALIFORNIA
Benicia High,Benicia,CALIFORNIA
Liberty High,Benicia,CALIFORNIA
Community Day,Benicia,CALIFORNIA
Berkeley High,Berkeley,CALIFORNIA
REALM Charter High,Berkeley,CALIFORNIA
Moreno High (Continuation),Beverly Hills,CALIFORNIA
Beverly Hills High,Beverly Hills,CALIFORNIA
Big Pine High,Big Pine,CALIFORNIA
Big Valley Jr. Sr. High,Bieber,CALIFORNIA
Biggs High,Biggs,CALIFORNIA
Biggs Secondary Community Day,Biggs,CALIFORNIA
Golden Sierra Junior Senior High,Garden Valley,CALIFORNIA
Divide High,Greenwood,CALIFORNIA
Bonita High,San Dimas,CALIFORNIA
Chaparral High (Continuation),San Dimas,CALIFORNIA
San Dimas High,San Dimas,CALIFORNIA
Borrego Springs High,Borrego Springs,CALIFORNIA
Juan Bautista de Anza,Borrego Springs,CALIFORNIA
